NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,431.2004235779736
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,454.8261814978659
b38a03232f43b11c9d0788abaf060f7366053b6d,562.6726662512135
70b682d9a3636be23f6120fa9d6b164eb3c6002d,0.0008076166220725156
715494628a50142ce8cb17191cfe6d0f3cae0934,535.2188311784269
e656d6bad65c93fb2880f1eba5037008c8e75774,462.7857625837209
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,546.0996435637926
11539e86171bf07d3a36f09377d7f54ebcc8406a,427.14449815943266
043c544a2104aa8a9849f1a703a08d37a2f16839,483.32434682931654
76ba050e64ad100b856f0eaabd8f539d5c7dd185,469.07180873622536
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,-6.464036970856814
db4da599aab5bb08dce27094a35fd3e36cd0abce,-0.10411603624415733
940aede382ccb332fab15d413217695ec44ca765,465.64488662731975
9ad714b116da76d878dd399d187fccc2dd13dd63,538.6765801925221
dd34464a4d780b12a089347ad580418ac57a3055,514.9420894225041
f837a4cb05a5fd59d20138182f5e8c721eadd584,505.494742984834
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,6.360728551234729
ca8477c8493b09f34d17bb287f9bacf2dd744c32,-0.10411603624415733
8b0c675d7fde14953668269d378c588f0df0498b,3.4192204780700663
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,397.86559741831803
3d203727f27abd83b71732d88d8cb1cc099f363b,434.89252299136456
d30d31c8ff45094e9a992c63d4a6f68b245a341a,75.2512472453928
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,-3.1791528506842575
cbc301183dec912f3513ca766bf03dd565f3a38f,497.53953247220414
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,607.8709012312872
11282da1ee78c8db45a041db4c744e33df489df0,452.1377412974195
03c67f683a415c2ea09b582248bd4cb08528c19d,579.8251908935486
046e844fb06a07ba30b41521f0065a8d9c6e5024,398.99479837448933
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,447.7363615403361
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,0.0008076166220725156
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,-3.2840765035504873
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,416.415435893669
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,549.8056117966601
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,501.2510185705982
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,529.8190583929072
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,473.5647367758074
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,474.48665710231694
59bfa081e020013410d9f60f91813964ba749bb2,437.9404544288388
f5e069ee3bc95998464e8ff5da048b7f999921ed,419.21830147450794
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,592.6595484926795
664f44258212a1f7e4086f2b4845d586c543fa3f,483.85851526345834
265cd7befa74a9f2a198fc57baec9858075f8419,423.8417246457057
6f9ac44919bbd204e0ef15185388fd2d4bc61253,501.07455524698486
78de1ee60b55766cc3eba4089e36c57139b66ebd,461.25032562266375
24550edb10f283ef4e953fd6a8fedbfa211bd456,-2.6136698418652955
1e61a474acdc043eb39a89c17fab34bd2ea1a940,428.6424129747399
940af68ded6af2875708611051aa7ff3f134d80b,500.1672520443847
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,478.02405046980994
c76ddf6e9f80984e901b12f9462a3cf029bea290,494.6705374259888
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,470.5682789189054
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,77.28140665519615
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,50.69802907703556
92823d467a2ced9529801e0e8a94802dd88f0c17,455.43781537022886
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,585.3950422751748
413cbb38b2e2522f8167ffb9daeac1347b281393,488.3356793384125
68985fad004092956a4b4ce94dd53dc76d07eaf7,516.4904395370672
bdca9aeb19521675af15f2c28d86f6bebc45a834,504.6888297029096
b65b19d42b7a4b644fe9f99366dcb37b120862d9,445.2120951200189
eda898aa8ec465cbac70de72ead0c6d688e5f95a,455.23704815876107
5357b6c09be4c7f3829b72f80de846a9228253cb,-2.6136698418652955
8d5c4481d736f6ce27976e400f4245bf10757608,442.916114112087
226b53de56347e3f9b52c8e0ab811fb82e96b3fb,-6.464036970856814
089613ac7dca24109f84c72a97c83b2768b1df1c,-2.6136698418652955
527773409bf373301dbd835e59a263c035c043b8,-2.6136698418652955
45c95a1640ada5c9206fde19c4ccf68929c5ec0c,0.0008076166220725156
c4cea54435c0fd0e171eed4c215479bb3ca86113,457.5296192508203
7d5cd89c6112b9a202a025a24355135bc60848c6,486.26872019892255
b70ab62384aa80545928a311f5b5d3db2f4d87ee,537.4153847048535
c96431dd924f366d2229a7f1455388b8cd85be49,586.5800651673226
1b72da5bb82cc150ecfe71218c02f155d694230b,-6.12066092384892
e429507efe1c2680cc464481850117d17083cd88,-2.94070045654259
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,432.8370815567061
e724482370ae6126008ade80b564ad8d8a0a7cbd,467.66963421089616
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,573.7194124534717
c8762fee25b022eb5b4918f8f689e4fb6d19f73c,-2.94070045654259
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,503.3593528553949
7f898f8939ae054359f83ee154bb91bc7dd2c959,554.0913930813479
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,457.40282957336024
82e3b12c6366008fabc238f299f117074e78de5d,402.1667832308362
0d838be0e718ceb786cdb10fcc12559e00440240,521.1826570773917
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,466.9758180381112
5a9d89465845ac2d81366275cbb1a81d627efd36,3.180768083928399
c83fe640ba466ba904ac1055e53a875289888797,447.132720802747
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,480.36010968119473
a2945f1e7fbadac669590b7d9fafb6c900bca3d0,399.2312270637014
328639a0c753715c30a58bae70c82f2101153eb3,456.78885595726723
ffc5eb6764d7640edfbdaf4648cd54a12c94dea9,-0.10411603624415733
643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,544.8957284087544
f56746cc2900258507d2b32c126f8db090db856f,458.2441186007766
1a4963b5fea8bb25c67750cdafbe84b01efad177,427.8653837120748
b520c940e62f4ed684417e7eacf00d85752060da,466.4292135883357
2e170cf2651ed448991af6fc5df15167733b2d8f,496.28247250239673
6efdd93a0ae289be6bb5a400bfc1deb077d75886,409.90225112268223
